"Marca temporal","¿Eres feliz?","Indica tu sexo","Con escala de 1 a 7, ¿qué nota asignarías a la facilidad para programar con Python?","¿Cuál es el horario del día que más te acomoda para estudiar Python?","¿Qué lenguaje te parece más apropiado para aprender a programar?","¿Qué  lenguaje consideras el más empleado en DataScience?","En escala de 1 a 10 ¿cuán agotado te encuentras?","Hasta el momento, ¿qué te ha parecido el curso de Python?"
"2025/05/10 7:12:53 p.m. GMT-4","Sí","Hombre","1","En la noche","Python","Python","10","10"
"2025/05/10 7:13:05 p.m. GMT-4","Tal vez","Mujer","6","En la mañana","Python","Python","7","10"
"2025/05/10 7:13:06 p.m. GMT-4","Sí","Mujer","7","En la mañana","Python","Python","10","10"
"2025/05/10 7:13:06 p.m. GMT-4","Sí","Hombre","5","En la noche","Python","Python","5","10"
"2025/05/10 7:13:06 p.m. GMT-4","No","Mujer","6","En la noche","Python","Python","8","10"
"2025/05/10 7:13:09 p.m. GMT-4","Sí","Hombre","6","Programo todo el día. Soy un bot","Python","Python","8","10"
"2025/05/10 7:13:10 p.m. GMT-4","Sí","Hombre","5","En la noche","Python","Python","8","10"
"2025/05/10 7:13:10 p.m. GMT-4","Tal vez","Hombre","7","En la noche","Python","Python","6","10"
"2025/05/10 7:13:11 p.m. GMT-4","Sí","Mujer","2","En la noche","Python","Python","10","10"
"2025/05/10 7:13:15 p.m. GMT-4","Sí","Hombre","5","En la mañana","Python","Python","9","10"
"2025/05/10 7:13:16 p.m. GMT-4","Tal vez","Hombre","6","En la mañana","Python","Python","4","10"
"2025/05/10 7:13:17 p.m. GMT-4","Sí","Hombre","4","En la tarde","Python","Python","8","10"
"2025/05/10 7:13:19 p.m. GMT-4","Sí","Hombre","4","En la tarde","R","Python","5","10"
"2025/05/10 7:13:24 p.m. GMT-4","Tal vez","Hombre","5","En la noche","Python","Python","10","10"
"2025/05/10 7:13:24 p.m. GMT-4","Sí","Hombre","6","En la mañana","Python","Python","6","9"
"2025/05/10 7:13:24 p.m. GMT-4","Sí","Mujer","4","En la noche","Python","Python","5","10"
"2025/05/10 7:13:24 p.m. GMT-4","Tal vez","Prefiero no decirlo","5.5","Programo todo el día. Soy un bot","Matlab","Python","9","10"
"2025/05/10 7:13:26 p.m. GMT-4","Tal vez","Mujer","2","En la mañana","Python","Python","7","10"
"2025/05/10 7:13:27 p.m. GMT-4","Sí","Hombre","5.8","En la mañana","Python","Python","6","10"
"2025/05/10 7:13:30 p.m. GMT-4","Sí","Hombre","5","En la mañana","Python","Python","7","9"
"2025/05/10 7:13:30 p.m. GMT-4","Sí","Hombre","6","En la mañana","Python","Python","10","10"
"2025/05/10 7:13:38 p.m. GMT-4","Sí","Hombre","6","En la mañana","Python","Python","9","9"
"2025/05/10 7:13:44 p.m. GMT-4","Sí","Hombre","5","En la mañana","Python","Python","8","10"
"2025/05/10 7:14:04 p.m. GMT-4","Sí","Hombre","6","En la noche","Python","Python","5","10"
"2025/05/10 7:14:42 p.m. GMT-4","Sí","Mujer","5","En la mañana","Python","Python","10","5"
"2025/05/10 7:14:47 p.m. GMT-4","Sí","Hombre","5","En la mañana","Turbo Pascal (Borland)","Python","3","9"
